beat_index,t_s,t_dt,r_index,RR_prev_ms,RR_next_ms,P_onset_idx,QRS_onset_idx,QRS_offset_idx,QRS_ms,PR_ms,T_peak_idx,T_end_idx,RT_peak_ms,RT_end_ms,QT_ms,QTc_Bazett_ms,QTc_Fridericia_ms,Tpeak_Tend_ms
92,71.45833333333333,2019-06-06 06:25:41.458333,17150,766.6666666666667,779.1666666666666,17064.0,17123,17159,150.0,245.83333333333331,17218.0,,283.3333333333333,,,,,
93,72.2375,2019-06-06 06:25:42.237500,17337,779.1666666666666,766.6666666666667,17251.0,17311,17364,220.83333333333331,250.0,17406.0,,287.5,,,,,
94,73.00416666666666,2019-06-06 06:25:43.004167,17521,766.6666666666667,745.8333333333334,17477.0,17495,17547,216.66666666666669,75.0,17588.0,,279.1666666666667,,,,,
95,73.75,2019-06-06 06:25:43.750000,17700,745.8333333333334,750.0,17614.0,17673,17727,225.0,245.83333333333331,17769.0,,287.5,,,,,
96,74.5,2019-06-06 06:25:44.500000,17880,750.0,754.1666666666666,17837.0,17854,17907,220.83333333333331,70.83333333333333,17948.0,18000.0,283.3333333333333,500.0,608.3333333333333,702.4428275140447,669.5574699147436,216.66666666666669
97,75.25416666666666,2019-06-06 06:25:45.254167,18061,754.1666666666666,758.3333333333333,17975.0,18034,18088,225.0,245.83333333333331,18129.0,,283.3333333333333,,,,,
98,76.0125,2019-06-06 06:25:46.012500,18243,758.3333333333333,762.5,18183.0,18216,18270,225.0,137.5,18311.0,18368.0,283.3333333333333,520.8333333333334,633.3333333333333,727.2810522334051,694.5107368541974,237.5
99,76.775,2019-06-06 06:25:46.775000,18426,762.5,770.8333333333334,18340.0,18399,18435,150.0,245.83333333333331,18493.0,,279.1666666666667,,,,,
100,77.54583333333333,2019-06-06 06:25:47.545833,18611,770.8333333333334,775.0,18525.0,18584,18620,150.0,245.83333333333331,18658.0,,195.83333333333334,,,,,
101,78.32083333333334,2019-06-06 06:25:48.320833,18797,775.0,770.8333333333334,18743.0,18771,18805,141.66666666666666,116.66666666666667,18891.0,,391.6666666666667,,,,,
102,79.09166666666667,2019-06-06 06:25:49.091667,18982,770.8333333333334,766.6666666666667,18895.0,18955,18991,150.0,250.0,19082.0,,416.6666666666667,,,,,
103,79.85833333333333,2019-06-06 06:25:49.858333,19166,766.6666666666667,766.6666666666667,19080.0,19139,19175,150.0,245.83333333333331,19229.0,,262.5,,,,,
104,80.625,2019-06-06 06:25:50.625000,19350,766.6666666666667,762.5,19302.0,19324,19358,141.66666666666666,91.66666666666666,19415.0,19476.0,270.8333333333333,525.0,633.3333333333333,723.317638245537,691.9852209614102,254.16666666666666
105,81.3875,2019-06-06 06:25:51.387500,19533,762.5,766.6666666666667,19447.0,19506,19542,150.0,245.83333333333331,19601.0,19675.0,283.3333333333333,591.6666666666666,704.1666666666667,806.4093208253644,770.7771776100918,308.33333333333337
106,82.15416666666667,2019-06-06 06:25:52.154167,19717,766.6666666666667,754.1666666666666,19640.0,19691,19725,141.66666666666666,212.5,19794.0,,320.83333333333337,,,,,
107,82.90833333333333,2019-06-06 06:25:52.908333,19898,754.1666666666666,745.8333333333334,19842.0,19871,19907,150.0,120.83333333333333,19993.0,,395.8333333333333,,,,,
108,83.65416666666667,2019-06-06 06:25:53.654167,20077,745.8333333333334,750.0,19991.0,20050,20086,150.0,245.83333333333331,20143.0,20216.0,275.0,579.1666666666667,691.6666666666666,800.8956810924575,762.6926887879423,304.16666666666663
109,84.40416666666667,2019-06-06 06:25:54.404167,20257,750.0,750.0,20170.0,20230,20284,225.0,250.0,20300.0,,179.16666666666666,,,,,
110,85.15416666666667,2019-06-06 06:25:55.154167,20437,750.0,745.8333333333334,20391.0,20410,20446,150.0,79.16666666666666,20503.0,,275.0,,,,,
111,85.9,2019-06-06 06:25:55.900000,20616,745.8333333333334,725.0,20556.0,20589,20625,150.0,137.5,20685.0,,287.5,,,,,
